Subject,Session,Epoch,State,Epoch_Index,Window_Index,Time_s,N_EEG_Channels,Log10_Delta_Power,Log10_Theta_Power,Log10_Alpha_Power,Log10_Beta_Power,Log10_Gamma_Power
sub-01,1,sub-01_1_2,Focus,2,2,1.5,64,-11.239774906705275,-12.087687131248352,-12.122034049431665,-12.519392248524499,-13.14747659893762
sub-01,1,sub-01_1_2,Focus,2,3,2.0,64,-11.242304927417578,-11.982325992699245,-12.016762033612316,-12.544264633543124,-13.183664092478018
sub-01,1,sub-01_1_2,Focus,2,4,2.5,64,-11.409940266240058,-12.052757334951593,-12.167429459589112,-12.479909248397558,-13.13392650856444
sub-01,1,sub-01_1_2,Focus,2,5,3.0,64,-11.425546433464886,-11.993343679688719,-12.258574413169832,-12.555141921599725,-13.17492087576786
sub-01,1,sub-01_1_2,Focus,2,6,3.5,64,-11.297443604850583,-11.921542105477835,-12.231663865028823,-12.530012854741626,-13.185079187586467
sub-01,1,sub-01_1_2,Focus,2,7,4.0,64,-11.338880247827225,-12.067638766940265,-12.180322421101986,-12.69570921055212,-13.297331402126657
sub-01,1,sub-01_1_2,Focus,2,8,4.5,64,-10.655062304152617,-11.773402643338407,-12.059130592278375,-12.563610530938425,-13.216574221614039
sub-01,1,sub-01_1_3,MW,3,0,0.5,64,-11.376050158780151,-11.927501392581448,-12.191006292571577,-12.543428768359828,-13.24941353110389
sub-01,1,sub-01_1_3,MW,3,1,1.0,64,-11.274216372926592,-11.937726858283517,-12.12485041750673,-12.520089727733506,-13.127300636364032
sub-01,1,sub-01_1_3,MW,3,2,1.5,64,-11.142797992793225,-11.877256449599287,-11.786249193164771,-12.366965833007125,-13.129489464848684
sub-01,1,sub-01_1_3,MW,3,3,2.0,64,-11.09291016707905,-11.781948970257924,-11.619772200557685,-12.30034667226455,-13.179175630923508
sub-01,1,sub-01_1_3,MW,3,4,2.5,64,-11.254707963881629,-11.735273014210769,-11.672694855102328,-12.445330137046657,-13.163418216740537
sub-01,1,sub-01_1_3,MW,3,5,3.0,64,-11.270673707846127,-11.83274938612514,-12.037399525542032,-12.590076230667202,-13.205067426004334
sub-01,1,sub-01_1_3,MW,3,6,3.5,64,-11.472217155462786,-11.962395011979165,-12.102164339911662,-12.439272865740314,-13.213081091525813
sub-01,1,sub-01_1_3,MW,3,7,4.0,64,-11.403195506877958,-11.982428126172884,-11.802287388420407,-12.330310873716938,-13.128801863093566
sub-01,1,sub-01_1_4,Focus,4,0,0.5,64,-10.91524277095537,-12.043711504604063,-12.043578732960004,-12.436828055793455,-13.214998650733092
sub-01,1,sub-01_1_4,Focus,4,1,1.0,64,-10.421514287572899,-11.560696654237251,-12.260545190064104,-12.492661618814617,-13.142576303973446
sub-01,1,sub-01_1_4,Focus,4,2,1.5,64,-11.497117493446696,-12.132911909076853,-11.98882677257159,-12.37760415620545,-13.178701639269406
sub-01,1,sub-01_1_4,Focus,4,3,2.0,64,-11.207772294722206,-11.979690869049833,-12.116027527908027,-12.35784583355181,-13.23092274926003
sub-01,1,sub-01_1_4,Focus,4,4,2.5,64,-11.469798537340356,-11.98941971729675,-11.98988939563085,-12.456425253614166,-13.179987482674889
sub-01,1,sub-01_1_4,Focus,4,5,3.0,64,-11.424771110692275,-11.943381213262073,-12.220376926039371,-12.384326990605823,-13.15859992081619
