Subject,Epoch,State,Epoch_Index,Window_Index,Time_s,Log10_Delta_Power,Log10_Theta_Power,Log10_Alpha_Power,Log10_Beta_Power,Log10_Gamma_Power
10,10_1,Focus,1,6,3.5,-10.985961305854703,-11.65090930784189,-11.846006048222103,-12.574206391635252,-13.008877240581379
10,10_1,Focus,1,7,4.0,-11.274969905900141,-11.705605889000507,-11.767183810015698,-12.560540603833612,-12.989357550930427
10,10_1,Focus,1,8,4.5,-10.849202036184877,-11.917675194815848,-12.053606997176296,-12.684936714776828,-12.993561206698248
10,10_2,Focus,2,0,0.5,-10.934469241937027,-11.87448663969872,-12.040001448780897,-12.405018955204994,-13.033822688697429
10,10_2,Focus,2,1,1.0,-10.648308626665553,-11.70684589471073,-11.962725616219409,-12.499562509022498,-13.040085248438013
10,10_2,Focus,2,2,1.5,-10.38343736114063,-11.643509012439136,-11.867912167533387,-12.42124582874135,-13.113744760572466
10,10_2,Focus,2,3,2.0,-10.482711887797763,-11.5208872540425,-11.618068894701981,-12.49410243069239,-13.079212745359444
10,10_2,Focus,2,4,2.5,-10.286299494815726,-11.643201692453045,-12.351178212975366,-12.61390272990974,-13.041675354668971
10,10_2,Focus,2,5,3.0,-10.709563480428205,-11.685504115980299,-12.149392182839897,-12.631908485940547,-13.063102775272036
10,10_2,Focus,2,6,3.5,-10.78979071675361,-11.669312941307842,-12.313208082851313,-12.544269956936095,-13.058895772109599
10,10_2,Focus,2,7,4.0,-10.825575058632545,-11.795528672100595,-12.082220330238421,-12.583652135968576,-13.099846659449407
10,10_2,Focus,2,8,4.5,-10.513718317060034,-11.876233139409358,-11.885559626326573,-12.498724706101727,-13.052640685958886
10,10_3,Focus,3,0,0.5,-10.927057955940029,-11.908867564460685,-11.944350951304248,-12.631993482242159,-13.140770665273923
10,10_3,Focus,3,1,1.0,-10.932218529519988,-11.780229990385731,-12.284451919390815,-12.757271151305105,-13.013568524032186
10,10_3,Focus,3,2,1.5,-10.971230134636171,-11.852610517506964,-11.993498268308342,-12.617663066811987,-13.120668065010456
10,10_3,Focus,3,3,2.0,-11.225315085529948,-11.831530441380476,-11.927423951667322,-12.501556231731191,-13.091105651217813
10,10_3,Focus,3,4,2.5,-11.131518875423865,-11.71666190704129,-11.785744060178766,-12.385475112038897,-13.139439441318409
10,10_3,Focus,3,5,3.0,-10.929470932138367,-11.628731907445971,-11.86393220391044,-12.261503316107383,-13.032531111819239
10,10_3,Focus,3,6,3.5,-10.67431289589045,-11.600634152569766,-11.875628034172216,-12.518031255500675,-13.15316226619403
10,10_3,Focus,3,7,4.0,-10.775628303123064,-12.005926058234747,-12.007072333735277,-12.336584847726439,-13.131294108924648
10,10_3,Focus,3,8,4.5,-10.61795391377308,-11.81839064073607,-11.903883678203737,-12.413208256926348,-13.125516377503445
10,10_4,MW,4,0,0.5,-11.107725465217541,-11.84784934615814,-12.417113202111793,-12.56170915720975,-13.202048256177465
10,10_4,MW,4,1,1.0,-11.205813721882906,-11.867981733446234,-11.991705110860806,-12.48238981853921,-13.195563118714169
10,10_4,MW,4,2,1.5,-11.182784533380158,-11.76200842359579,-12.100429364832152,-12.571737012646917,-13.146145089941088
10,10_4,MW,4,3,2.0,-11.179877170755054,-11.874125631126065,-12.104182106903805,-12.424921993330653,-13.184765459216857
10,10_4,MW,4,4,2.5,-11.176638478057042,-11.668882613957791,-12.04909691820429,-12.641540237374032,-13.231632769203584
10,10_4,MW,4,5,3.0,-10.903682261606521,-11.850469864198788,-12.253690253851934,-12.570647192974281,-13.35303702803834
10,10_4,MW,4,6,3.5,-11.005945728707943,-12.11133886468724,-12.211764803114168,-12.364591161145958,-13.233823169641447
10,10_4,MW,4,7,4.0,-11.196994184709014,-11.95479937168566,-11.909463593677097,-12.519558106470061,-13.144225081645894
10,10_5,MW,5,0,0.5,-11.104745985921852,-11.968432156408637,-12.005168626853207,-12.5042129392396,-13.115639999301422
10,10_5,MW,5,1,1.0,-11.007404191002399,-11.784099982911577,-12.334699210868463,-12.702250788687076,-13.239273883232006
10,10_5,MW,5,2,1.5,-10.998271149543912,-11.812090129757102,-12.243531798306579,-12.673837554086974,-13.133107366832935
10,10_5,MW,5,3,2.0,-11.091981940372142,-11.938167110429497,-12.194894611724187,-12.211019539709936,-13.159803042446901
10,10_5,MW,5,4,2.5,-11.296517566317634,-11.848120716023692,-11.812035065132886,-12.380678604062552,-13.042263237124274
