Subject,Epoch,State,Epoch_Index,Window_Index,Time_s,Log10_Delta_Power,Log10_Theta_Power,Log10_Alpha_Power,Log10_Beta_Power,Log10_Gamma_Power
10,10_1,Focus,1,6,3.5,-11.028997615981813,-11.646187592392492,-11.795654346519685,-12.552426988996299,-12.953090639038605
10,10_1,Focus,1,7,4.0,-11.297478173203503,-11.628395468744399,-11.743811945506835,-12.566999479786015,-12.964149373480858
10,10_1,Focus,1,8,4.5,-11.002243220644383,-11.859226598876209,-12.012516669045233,-12.659323738857221,-12.931440254659057
10,10_2,Focus,2,0,0.5,-10.968272538029876,-11.87999451198514,-11.996675595560012,-12.415703338717252,-12.936395121448442
10,10_2,Focus,2,1,1.0,-10.725864847683889,-11.701681880553428,-11.908900746829909,-12.506700317925105,-12.980363410608062
10,10_2,Focus,2,2,1.5,-10.634130275652316,-11.627354419726023,-11.79725249381574,-12.390070313636665,-13.106712642445208
10,10_2,Focus,2,3,2.0,-10.686664436180202,-11.518032451818259,-11.614906911337144,-12.559383730588335,-13.041172653433302
10,10_2,Focus,2,4,2.5,-10.593459662193036,-11.61461932911915,-12.295124709033395,-12.566627052585146,-12.932507528184807
10,10_2,Focus,2,5,3.0,-10.84313537080067,-11.629388122535326,-12.14013136712322,-12.678719748189751,-13.064866458649515
10,10_2,Focus,2,6,3.5,-10.963985358216993,-11.637770622990681,-12.292326151419555,-12.521764715225494,-13.021356704749886
10,10_2,Focus,2,7,4.0,-10.900161316926063,-11.775593063144017,-12.033725655974823,-12.607029734950677,-13.084031143818871
10,10_2,Focus,2,8,4.5,-10.423970440498788,-11.85488094370326,-11.79472982861686,-12.518782520579482,-12.982290821648846
10,10_3,Focus,3,0,0.5,-10.95246290473461,-11.880162691243376,-11.912627390028248,-12.59070076700155,-13.044050284423598
10,10_3,Focus,3,1,1.0,-10.899876144254069,-11.710195046972807,-12.237663054984314,-12.70771269626115,-12.972251285577714
10,10_3,Focus,3,2,1.5,-11.024016189339333,-11.84125889798653,-11.969928756660995,-12.593776194558293,-13.109953502890262
10,10_3,Focus,3,3,2.0,-11.27362113538438,-11.806116031417066,-11.911052062538964,-12.485056441773436,-13.067649756144432
10,10_3,Focus,3,4,2.5,-11.185216093359118,-11.685869727399146,-11.726217132406868,-12.44584731880324,-13.028240826596237
10,10_3,Focus,3,5,3.0,-11.015742485573478,-11.584290316423125,-11.791127910007134,-12.288910218638197,-12.955650682746978
10,10_3,Focus,3,6,3.5,-10.828211104524614,-11.57667499260415,-11.798620893961255,-12.478273671291337,-13.110711321279174
10,10_3,Focus,3,7,4.0,-11.051346508935103,-11.974216971223786,-11.887177255851206,-12.373150742762315,-13.09917749289856
10,10_3,Focus,3,8,4.5,-10.792966184147756,-11.804499307489356,-11.741606642596539,-12.412037158674016,-13.028091509864154
10,10_4,MW,4,0,0.5,-11.11176670774107,-11.837863510624775,-12.359626083600023,-12.540989578011375,-13.198071494647444
10,10_4,MW,4,1,1.0,-11.300653777089323,-11.863735053987831,-11.882585097278296,-12.526078265008717,-13.16885535186658
10,10_4,MW,4,2,1.5,-11.294382329416939,-11.739548052721371,-12.029966912894755,-12.582915287964475,-13.125694292972609
10,10_4,MW,4,3,2.0,-11.192411213159316,-11.832577008807059,-12.08857762163001,-12.390428722291515,-13.144573965805062
10,10_4,MW,4,4,2.5,-11.250950806583058,-11.624183376472113,-11.991000508038699,-12.710574633665308,-13.233412130378486
10,10_4,MW,4,5,3.0,-10.966744124634934,-11.81155351656547,-12.218982277845994,-12.548686533642115,-13.350289499173025
10,10_4,MW,4,6,3.5,-11.096767604366145,-12.013530480837876,-12.190431094364612,-12.380431933724223,-13.22513256575915
