Model,Accuracy,Precision,Recall,F1,ROC-AUC,Window,ArtifactCondition,Category,Variant,N_Features
SVM,0.5969436485195797,0.5452898550724637,0.6377118644067796,0.587890625,0.6404992630803243,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Anterior (Frontal),432
Logistic Regression,0.6466093600764088,0.6321243523316062,0.5169491525423728,0.5687645687645687,0.6880434782608695,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Anterior (Frontal),432
SVM,0.5978987583572111,0.5489443378119002,0.6059322033898306,0.5760322255790534,0.6448636698599852,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Central & Temporal,360
Logistic Regression,0.6341929321872015,0.5913757700205339,0.6101694915254238,0.6006256517205423,0.6828776713338245,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Central & Temporal,360
SVM,0.5998089780324737,0.5404580152671755,0.75,0.6282165039929015,0.6731061164333089,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Posterior,360
Logistic Regression,0.6160458452722063,0.5625,0.6673728813559322,0.6104651162790697,0.6769233603537214,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Posterior,360
SVM,0.6532135627530364,0.5848658426288815,0.5871670702179177,0.5860141972511705,0.685917695283714,Analysis_Window,Raw,Baseline (Band),Full Band Feature Set,1216
Logistic Regression,0.6248734817813765,0.5960339943342776,0.31840193704600483,0.4150720063128822,0.6378538530371618,Analysis_Window,Raw,Baseline (Band),Full Band Feature Set,1216
SVM,0.6534665991902834,0.5866830316047867,0.5786924939467313,0.5826603687338108,0.6839373881461206,Analysis_Window,Raw,Frequency Band (Omit),Omit Delta,1088
Logistic Regression,0.6227226720647774,0.593279258400927,0.3099273607748184,0.40715705765407556,0.6351269870512686,Analysis_Window,Raw,Frequency Band (Omit),Omit Delta,1088
SVM,0.6236082995951417,0.5559714188499489,0.49455205811138014,0.5234662822361045,0.6376514633119276,Analysis_Window,Raw,Frequency Band (Omit),Omit Theta,832
