Model,Accuracy,Precision,Recall,F1,ROC-AUC,Window,ArtifactCondition,Category,Variant,N_Features
SVM,0.49612403100775193,0.45544554455445546,0.8214285714285714,0.5859872611464968,0.5224437377690803,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Anterior (Frontal),432
Logistic Regression,0.5852713178294574,0.5149700598802395,0.7678571428571429,0.6164874551971327,0.6444471624266145,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Anterior (Frontal),432
SVM,0.5542635658914729,0.4913294797687861,0.7589285714285714,0.5964912280701754,0.6172945205479453,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Central & Temporal,360
Logistic Regression,0.5891472868217055,0.5174418604651163,0.7946428571428571,0.6267605633802817,0.726394324853229,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Central & Temporal,360
SVM,0.5658914728682171,0.5,0.8571428571428571,0.631578947368421,0.7237646771037183,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Posterior,360
Logistic Regression,0.624031007751938,0.5688073394495413,0.5535714285714286,0.5610859728506787,0.6630993150684931,Analysis_Window,ICA_Cleaned,Scalp Region (Isolate),Only Posterior,360
SVM,0.7146516393442623,0.705244122965642,0.49744897959183676,0.5833956619296934,0.7225142839670115,Analysis_Window,Raw,Baseline (Band),Full Band Feature Set,1216
Logistic Regression,0.6711065573770492,0.678391959798995,0.34438775510204084,0.45685279187817257,0.6703505032149847,Analysis_Window,Raw,Baseline (Band),Full Band Feature Set,1216
SVM,0.7172131147540983,0.7101449275362319,0.5,0.5868263473053892,0.7296933970506011,Analysis_Window,Raw,Frequency Band (Omit),Omit Delta,1088
Logistic Regression,0.6542008196721312,0.6415584415584416,0.31505102040816324,0.42258340461933275,0.6586743430248813,Analysis_Window,Raw,Frequency Band (Omit),Omit Delta,1088
SVM,0.6854508196721312,0.6440677966101694,0.4846938775510204,0.5531295487627366,0.6879062412636288,Analysis_Window,Raw,Frequency Band (Omit),Omit Theta,832
Logistic Regression,0.6690573770491803,0.6413934426229508,0.399234693877551,0.4921383647798742,0.6685693755241823,Analysis_Window,Raw,Frequency Band (Omit),Omit Theta,832
SVM,0.6116803278688525,0.5175202156334232,0.4897959183673469,0.5032765399737876,0.6373390323595192,Analysis_Window,Raw,Frequency Band (Omit),Omit Alpha,768
Logistic Regression,0.6229508196721312,0.5701754385964912,0.24872448979591838,0.3463587921847247,0.6108547228823036,Analysis_Window,Raw,Frequency Band (Omit),Omit Alpha,768
SVM,0.7085040983606558,0.6972477064220184,0.4846938775510204,0.5718585402558315,0.7153078697232318,Analysis_Window,Raw,Frequency Band (Omit),Omit Beta,1088
Logistic Regression,0.6823770491803278,0.6943127962085308,0.3737244897959184,0.4859038142620232,0.6637392542633491,Analysis_Window,Raw,Frequency Band (Omit),Omit Beta,1088
SVM,0.7074795081967213,0.6852173913043478,0.5025510204081632,0.5798381162619574,0.7216122536343305,Analysis_Window,Raw,Frequency Band (Omit),Omit Gamma,1088
Logistic Regression,0.6485655737704918,0.5976095617529881,0.3826530612244898,0.4665629860031104,0.6460896002236511,Analysis_Window,Raw,Frequency Band (Omit),Omit Gamma,1088
SVM,0.5281762295081968,0.4281217208814271,0.5204081632653061,0.4697754749568221,0.5368882356024601,Analysis_Window,Raw,Frequency Band (Isolate),Only Delta,128
Logistic Regression,0.5245901639344263,0.41964285714285715,0.47959183673469385,0.44761904761904764,0.5261184739306681,Analysis_Window,Raw,Frequency Band (Isolate),Only Delta,128
SVM,0.5486680327868853,0.45411542100283825,0.6122448979591837,0.5214557305812059,0.5686853508526699,Analysis_Window,Raw,Frequency Band (Isolate),Only Theta,384
Logistic Regression,0.5829918032786885,0.4725274725274725,0.32908163265306123,0.3879699248120301,0.5640649025020967,Analysis_Window,Raw,Frequency Band (Isolate),Only Theta,384
SVM,0.7095286885245902,0.7090558766859345,0.46938775510204084,0.5648503453568687,0.720223170603858,Analysis_Window,Raw,Frequency Band (Isolate),Only Alpha,448
Logistic Regression,0.6203893442622951,0.5265104808877928,0.5446428571428571,0.535423197492163,0.6525217535644394,Analysis_Window,Raw,Frequency Band (Isolate),Only Alpha,448
SVM,0.5133196721311475,0.3957286432160804,0.4017857142857143,0.3987341772151899,0.4948204238887336,Analysis_Window,Raw,Frequency Band (Isolate),Only Beta,128
Logistic Regression,0.5461065573770492,0.43089430894308944,0.40561224489795916,0.4178712220762155,0.5458801457226726,Analysis_Window,Raw,Frequency Band (Isolate),Only Beta,128
SVM,0.5835040983606558,0.45084745762711864,0.16964285714285715,0.24652455977757182,0.526908023483366,Analysis_Window,Raw,Frequency Band (Isolate),Only Gamma,128
Logistic Regression,0.5425204918032787,0.37054631828978624,0.1989795918367347,0.25892116182572616,0.49699687237908863,Analysis_Window,Raw,Frequency Band (Isolate),Only Gamma,128
SVM,0.6977459016393442,0.6701754385964912,0.4872448979591837,0.5642540620384048,0.7146499117626504,Analysis_Window,ICA_Cleaned,Baseline (Band),Full Band Feature Set,1216
Logistic Regression,0.6198770491803278,0.5439330543933054,0.33163265306122447,0.4120443740095087,0.612326801439754,Analysis_Window,ICA_Cleaned,Baseline (Band),Full Band Feature Set,1216
SVM,0.7064549180327869,0.6942909760589319,0.48086734693877553,0.5681989449886963,0.7269922202613921,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Delta,1088
Logistic Regression,0.625,0.5677083333333334,0.2780612244897959,0.3732876712328767,0.6249443056332122,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Delta,1088
SVM,0.6875,0.6469594594594594,0.4885204081632653,0.5566860465116279,0.6980775615040538,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Theta,832
Logistic Regression,0.6214139344262295,0.5433526011560693,0.3596938775510204,0.4328472755180353,0.6175227582471345,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Theta,832
SVM,0.5922131147540983,0.49107142857142855,0.42091836734693877,0.4532967032967033,0.6172071568353369,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Alpha,768
Logistic Regression,0.6014344262295082,0.5053003533568905,0.3647959183673469,0.4237037037037037,0.5982164698071009,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Alpha,768
SVM,0.6659836065573771,0.6,0.5051020408163265,0.5484764542936288,0.6708774156066536,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Beta,1088
Logistic Regression,0.6065573770491803,0.5124223602484472,0.42091836734693877,0.46218487394957986,0.6013124213726587,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Beta,1088
