Subject,Session,Epoch_ID,Epoch_Index,State,Channel,Theta_RP,Alpha_RP,Beta_RP
10,1,10_ses-1_MW_epoch_0002,2,F,F4,0.1151029181051339,0.10251330167562242,0.09026182431562005
10,1,10_ses-1_MW_epoch_0002,2,F,F8,0.04278879109657985,0.08140298528426354,0.11798987922145976
10,1,10_ses-1_MW_epoch_0002,2,F,T3,0.10505010764609271,0.057397309812727275,0.038015264960738565
10,1,10_ses-1_MW_epoch_0002,2,F,C3,0.09638473533648012,0.08243236958130204,0.04647109081985333
10,1,10_ses-1_MW_epoch_0002,2,F,Cz,0.27697707361884133,0.14163030361838894,0.11971455447341021
10,1,10_ses-1_MW_epoch_0002,2,F,C4,0.10335676026302175,0.08931854993592482,0.06462562718982494
10,1,10_ses-1_MW_epoch_0002,2,F,T4,0.19676684296993802,0.070240903752428,0.09084718483093654
10,1,10_ses-1_MW_epoch_0002,2,F,T5,0.07333274663230319,0.03178777673230017,0.04858062830332881
10,1,10_ses-1_MW_epoch_0002,2,F,P3,0.16187373639274377,0.20827982157605351,0.08459237119018873
10,1,10_ses-1_MW_epoch_0002,2,F,Pz,0.26021223804263455,0.12763548100155037,0.13693398280635793
10,1,10_ses-1_MW_epoch_0002,2,F,P4,0.015032936320463347,0.006714132107033992,0.004522943508872974
10,1,10_ses-1_MW_epoch_0002,2,F,T6,0.08542883072958798,0.09151178785120505,0.06670725412094605
10,1,10_ses-1_MW_epoch_0002,2,F,O1,0.0922116362899757,0.02927374203106188,0.046602392112684944
10,1,10_ses-1_MW_epoch_0002,2,F,O2,0.22192003051424905,0.0459742210701993,0.04670049224963763
