Feature,Importance,Feature family
P10_Alpha_Mean,0.0042654058437424335,Oscillatory-envelope dynamics
TP8_Alpha_Mean,0.0042647827582868265,Oscillatory-envelope dynamics
F1_Alpha_Rel,0.004252359827173682,Band-power features
P2_Alpha_Abs,0.004248507105365356,Band-power features
C5_Alpha_Rel,0.004242795118707509,Band-power features
C6_Alpha_Mean,0.004238212261600266,Oscillatory-envelope dynamics
PO8_Alpha_Mean,0.0042192853079520655,Oscillatory-envelope dynamics
C1_TotalPower,0.004208268886731435,Spectral summary features
FT8_Alpha_Mean,0.004207326895381717,Oscillatory-envelope dynamics
F2_Variance,0.004193558709260863,Time-domain statistics
FCz_TotalPower,0.004183812798025647,Spectral summary features
Fz_Variance,0.004178925490760856,Time-domain statistics
Cz_Variance,0.00417295695472414,Time-domain statistics
C1_Variance,0.004152377891356458,Time-domain statistics
Fpz_Alpha_Rel,0.004113765204425625,Band-power features
FC6_Alpha_Mean,0.004112050554895114,Oscillatory-envelope dynamics
AF4_Alpha_Rel,0.004106230298287986,Band-power features
F4_Alpha_Mean,0.004060326515568745,Oscillatory-envelope dynamics
AF3_Alpha_Rel,0.004054093974902072,Band-power features
FCz_Variance,0.004048156339578858,Time-domain statistics
F6_Alpha_Mean,0.004037166466526294,Oscillatory-envelope dynamics
F8_Alpha_Rel,0.00403463038242176,Band-power features
AF8_Alpha_Mean,0.004033867560231942,Oscillatory-envelope dynamics
Fpz_Alpha_Mean,0.004025257254389926,Oscillatory-envelope dynamics
Fp2_Alpha_Mean,0.003955697625458826,Oscillatory-envelope dynamics
AFz_Alpha_Rel,0.003911392315000732,Band-power features
Fp1_Alpha_Rel,0.0038514200464692993,Band-power features
PLV_Theta_Fp1_Fz,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_FC6,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_F2,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_Iz,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_FT8,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_F4,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_O1,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_PO3,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_F8,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_F6,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_PO7,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_FC4,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_PO8,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_P10,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_P8,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_P6,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_P4,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_P5,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_P2,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_P7,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_CP2,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_Cz,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_CP4,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_CP6,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_TP8,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_T8,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_C6,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_C4,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_C2,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_FCz,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_FC2,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_P9,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_TP7,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_T7,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_C5,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_C3,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_C1,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_FC1,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_FC3,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_FC5,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_FT7,0.0,Functional connectivity / synchrony
